Time,PGN,DA,SA,Prioirty,Data
1547754975.489442,61184,255,0,3,64 06 2B 7D FF FF FF FF 
1547754975.490018,65129,255,0,6,38 24 BC 27 FF FF 60 FE 
1547754975.495218,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.496417,61184,0,6,1,64 15 12 F0 0B 19 93 0E 
1547754975.496965,65534,255,6,3,5C 27 1D 27 1D FF FF FF 
1547754975.49754,65265,255,71,6,FF 00 00 FF FF FF FF FF 
1547754975.498138,61445,255,3,6,80 FF FF FF FF FF FF FF 
1547754975.498812,61444,255,0,3,F0 FF 9C 2C 1C FF FF FF 
1547754975.508692,61443,255,0,3,FF 00 22 FF 06 FF FF FF 
1547754975.50931,61184,255,0,3,64 06 2A 7D FF FF FF FF 
1547754975.515209,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.516404,61184,0,6,1,64 15 13 F0 11 19 93 0E 
1547754975.518758,61444,255,0,3,F0 FF 9B 20 1C FF FF FF 
1547754975.519308,65247,255,0,6,8B 20 1C FF FF FF FF FF 
1547754975.529016,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.529588,61184,255,0,3,64 06 2B 7D FF FF FF FF 
1547754975.530163,65266,255,0,6,20 00 FF FF FF FF FF FF 
1547754975.534785,126720,6,71,3,01 04 FF FF FF FF FF F1 
1547754975.535411,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.536608,61184,0,6,1,64 15 14 F0 0B 19 93 0E 
1547754975.538793,61444,255,0,3,F0 FF 9C 1A 1C FF FF FF 
1547754975.548691,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.549265,61184,255,0,3,64 06 2D 7D FF FF FF FF 
1547754975.549804,61184,6,0,6,64 0E 03 00 FF FF FF FF 
1547754975.555188,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.556437,61184,0,6,1,64 15 15 F0 04 19 93 0E 
1547754975.558738,61444,255,0,3,F0 FF 9C 1C 1C FF FF FF 
1547754975.568731,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
